0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/openForm/Employee HTTP/1.1" 200 7399
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/custom_alert.js HTTP/1.1" 200 1342
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/bootstrap-show-password.min.js HTTP/1.1" 200 3915
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:44:38 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:48:05 +0530] "GET /FormGeneratorUtility/openForm/employeMaster1? HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/index HTTP/1.1" 200 77146
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/css/jquery.datetimepicker.min.css HTTP/1.1" 200 16503
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/js/jquery-3.2.1.min.js HTTP/1.1" 200 86661
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/css/bootstrap.min.css HTTP/1.1" 200 146011
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/css/forms.css HTTP/1.1" 200 9327
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/js/formutility.js HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/js/jquery.datetimepicker.full.js HTTP/1.1" 200 101621
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/js/formutility_date.js HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /FormGeneratorUtility/js/js-form-validator.min.js HTTP/1.1" 200 21307
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [08/Jan/2018:10:52:39 +0530] "POST /FormGeneratorUtility/generateTable HTTP/1.1" 302 -
